text,processed_text,sentiment,topic
Sudah bagus dan lancar acaranya		,keren sukses acara,Positif,Kesuksesan Acara
masih bikin agak ngantuk		,buat mengantuk,Negatif,Antusiasme atau Keterlibatan Peserta
Lebih tepat waktu acaranya		,tepat waktu acara,Negatif,Waktu atau Pelaksanaan Acara
semoga seminar ini tetap terlaksana dengan baik		,semoga seminar tetap terlaksana baik,Positif,Kesuksesan Acara
Tidak ada kritik dan saran semua sudah oke.		,kritik usulan baik,Positif,Kesan atau Pesan
acaranya lebih tepat waktu kedepannya		,acara tepat waktu ke depannya,Negatif,Waktu atau Pelaksanaan Acara
acara webinar ini sudah terlaksana dengan baik		,acara seminar terlaksana baik,Positif,Kesuksesan Acara
"udah bagus dan kondusif, semoga webinar selanjutnya bisa lebih bagus lagi		",keren kondusif semoga seminar lanjut keren,Positif,Kesuksesan Acara
acara sangat terlaksana dengan baik		,acara terlaksana baik,Positif,Kesuksesan Acara
Kegiatannya terlaksana dengan baik		,acara terlaksana baik,Positif,Kesuksesan Acara
