kata,sinonim
acara,acara
event,acara
kegiatan,acara
program,acara
aktivitas,acara
referensi,acuan
patokan,acuan
pedoman,acuan
standar,acuan
ada,ada
adanya,ada
adakan,ada
terdapat,ada
ambil,ambil
baik,baik
oke,baik
positif,baik
mantap,baik
terbaik,baik
sangat baik,baik
bagus,baik
pol,banget
multi,banyak
diperbanyak,banyak
perbanyak,banyak
kebanyakan,banyak
banyakin,banyak
jumlah besar,banyak
berlimpah,banyak
mempelajari,belajar
menuntut,belajar
pendidikan,belajar
pelajaran,belajar
pelajari,belajar
belajar,belajar
pembelajaran,belajar
screen share,berbagi layar
dijalankan,terlaksana
terjadi,terlaksana
melaksanakan,terlaksana
berjalan,terlaksana
dilaksanakan,terlaksana
bermanfaat,bermanfaat
beragam,bervariatif
bermacam-macam,bervariatif
beragam variasi,bervariatif
membosankan,suasana
segera,cepat
cepat-cepat,cepat
kilat,cepat
instan,cepat
sangat cepat,cepat
online,daring
offline,daring
di tempat,daring
di lokasi,daring
dgn,dengan
bersama,dengan
diharap,harap
dengan harapan,harap
dapat diharap,harap
laksanakan,harap
sarana,fasilitas
prasarana,fasilitas
kelengkapan,fasilitas
peralatan,fasilitas
infrastruktur,fasilitas
konsentrasi,fokus
perhatian,fokus
memusatkan perhatian,fokus
tidak berhasil,gagal
batal,gagal
gagal total,gagal
permainan,hiburan
penghiburan,hiburan
entertainment,hiburan
penyemangat,hiburan
iklannya,iklan
progate,iklan
kreatif,inovatif
baru,inovatif
berbeda,inovatif
berinovasi,inovatif
diskusi,interaksi
tanya jawab,interaksi
qna,interaksi
perbincangan,interaksi
miskomunikasi,interaksi
berkomunikasi,interaksi
berbicara,interaksi
berdialog,interaksi
berdiskusi,interaksi
masalah,kendala
tantangan,kendala
kesulitan,kendala
rintangan,kendala
halangan,kendala
berkendala,kendala
hebat,keren
cool,keren
bagus,keren
unik,khas
network,jaringan
screen,layar
monitor,layar
mahasiswa baru,mahasiswa
bermasalah,masalah
materi pembelajaran,materi
pemandu acara,mc
mcnya,mc
pengarah,mc
bosenin,suasana
monoton,suasana
tidak menarik,suasana
sepi,suasana
inspiratif,memotivasi
loading,memuat
seru,menarik
ngantuk,mengantuk
lelah,mengantuk
capek,mengantuk
memberikan,menyampaikan
menyuarakan,menyampaikan
mengungkapkan,menyampaikan
mengkomunikasikan,menyampaikan
pembicara,narasumber
narasumber,narasumber
tamu,narasumber
speaker,narasumber
instructor,narasumber
orang,narasumber
pemateri,narasumber
virtual,maya
pendapat,opini
komentar,opini
mengawasi,pantau
memantau,pantau
menyimak,pemaparan
dibahas,pemaparan
paparkan,pemaparan
pelaksanaannya,pelaksanaan
workshop,pelatihan
pelatihan,pelatihan
testimoni,pengalaman
kisah,pengalaman
cerita,pengalaman
ilmu,pengalaman
wawasan,pengalaman
berpengalaman,pengalaman
timer,penghitung waktu
paham,penyampaian
tersampaikan,penyampaian
menyampaikan,penyampaian
penyampaian materi,penyampaian
disampaikan,penyampaian
dijelaskan,pemaparan
penjelasan,pemaparan
pemberitahuan,penyampaian
kakak,penyelenggara
panitia,penyelenggara
organizer,penyelenggara
host,penyelenggara
tim pelaksana,penyelenggara
benahi,perbaiki
diperbaiki,perbaiki
diselesaikan,perbaiki
icebreaking,permainan
permainan,permainan
games,permainan
peserta,peserta
partisipan,peserta
participant,peserta
penonton,peserta
hadirin,peserta
audience,peserta
penonton,peserta
peminat,peserta
pendengar,peserta
audiens,peserta
audience,peserta
anggota,peserta
terkait,relevan
relatable,relevan
nyambung,relevan
berhubungan,relevan
patah-patah,gangguan
webinar,seminar
talkshow,seminar
menarik,seru
menggembirakan,seru
menyenangkan,seru
asyik,seru
fun,seru
atmosfer,suasana
lingkungan,suasana
kondisi,suasana
mood,suasana
keadaan,suasana
perasaan,suasana
nuansa,suasana
berhasil,sukses
lancar,sukses
tercapai,sukses
mencapai tujuan,sukses
alhamdulillah,syukur
qna,tanya jawab
link,tautan
terhenti,gangguan
terganggu,gangguan
macet,gangguan
putus-putus,gangguan
topik,tema
ontime,tepat waktu
tidak telat,tepat waktu
sesuai jadwal,jadwal
sesuai waktu,tepat waktu
terdengar jelas,terdengar
kedengaran,terdengar
terdengar dengan baik,terdengar
disajikan,terlaksana
terjadinya,terlaksana
dilaksanakannya,terlaksana
jalan,terlaksana
berjalannya,terlaksana
ngaret,terlambat
lambat,terlambat
telat,terlambat
molor,terlambat
terorganisir,terstruktur
teratur,terstruktur
sistematis,terstruktur
tanggapan,ulasan
respon,umpan balik
feedback,umpan balik
masukan,umpan balik
komentar,umpan balik
mengundang,undang
undang,undang
diundang,undang
undang,undang
menghadirkan,undang
didatangkan,undang
unduh,unduh
downloaded,unduh
upload,unggah
uploading,upload
saran,usulan
rekaman,video
film,video
tayangan,video
video streaming,video
pukul,waktu
jam,waktu
hitungan mundur,waktu
siang,waktu
jam,waktu
tahun,waktu
sore,waktu
hari,jadwal
pagi,waktu
zoomnya,zoom
zoom nya,zoom
allah,tuhan
amalia,mc
isi,konten
isinya,konten
animasi,konten
ppt,konten
selanjutnya,lanjut
berikutnya,lanjut
berlanjut,lanjut
kebenaran,benar
dibagikan,berbagi
sharing,berbagi
share,berbagi
didapatkan,dapat
mendapatkan,dapat
dpt,dapat
mendapat,dapat
dapet,dapat
dapat,dapat
dapatkan,dapat
dibungkus,terlaksana
berlangsung,terlaksana
disela,waktu
ditengah,waktu
didatangkan,undang
invite,undang
edukasi,pelajaran
edukatif,bermanfaat
bermutu,bermanfaat
berguna,bermanfaat
festival,fkbmik
bergabung,gabung
gabungan,kolaborasi
gampang,mudah
hambatan,kendala
kreatif,inovasi
cerdas,inovasi
baru,inovasi
maju,inovasi
modern,inovasi
ide,inspirasi
dorongan,inspirasi
pencerahan,inspirasi
motivasi,inspirasi
mendorong,inspirasi
perubahan,inovasi
terobosan,inovasi
pembaruan,inovasi
kreasi,inovasi
penemuan,inovasi
interaktif,interaksi
datang,undang
diundang,undang
gabungan,kolaborasi
bufering,gangguan
lag,gangguan
patah,gangguan
putus,gangguan
mewujudkan,menghasilkan
ganggu,gangguan
freeze,gangguan
dibuat,buat
membuat,buat
audio,suara
sound,suara
berisik,gangguan
disiplin,tertib
sponsor,iklan
panjang,lama
diperpanjang,lama
perpanjang,lama
